,FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,,,!!! NOTE!!!
,DJILI-SOY,Djili-soy - seminte de floarea soarelui,Djili-soy - Sunflower seeds without salt,100 g,"10,-",,3 800118 900554,,
,OLYMPUS,Cereale cu arome de fructe,Cereals with fruits aroma,75 g,"12,-",,6 421846 000278,,
,OLYMPUS,Gusto – pufuleti MegaSurprise,Gusto – corn snacks – MegaSurprise,60 g,"12,-",,6 420211 00349,,
,,Categorie BRANZETURI SI PRODUSE LACTATE,Category CHEESE AND DAIRY,,,,,,
,Olympus,Telemea oaie,Sheep cottage cheese,200 g,"25,-",,5 202178 062315,,
,Olympus,Telemea vaca,Cow cottage cheese,200 g,"22,-",,5 202178 062124,,
,Lactate Bradet,Cascaval Dalia,Dalia cheese,325 g,"35,-",,5 941730 000531,,
,Lactate Bradet,Cascaval Afumat,Smoked cheese,325 g,"40,-",,5 941730 000623,,
,,Cascaval clasic,Classic cheese,600 g,"65,-",,,,
,Josi - Logistic,Rucar Cascaval,,200g,"29,-",,NO BARCODE,,
,Bueno Lact,Vidraru Cascaval afumat,,200g,"29,-",,NO BARCODE,,
,Bueno Lact,Dalia Cascaval,,440g,"37,-",,NO BARCODE,,
,Hochland,Cascaval classic,,200g,"29,-",,5941238006158,,
,Hochland,Cascaval classic,,400g,"50,-",,5941238006172,,
,Hochland,Cascaval classic,,450g,"45,-",,5941238005113,,
,Hochland,Cascaval afumat,,450g,"45,-",,5941238005120,,
,Hochland,Sana 3%,Sana 3%,500 ml,"13,-",,,,
,Hochland,Sahnezauber spray cream 21%,Sahnezauber spray cream 21%,250 ml,"22,-",,,,
,Hochland,Branza burduf,Bellows cheese,1000 g,"85,-/kg",,,,
,Hochland,Mugura – Smantana (12%),Mugura – Sour cream (12%),200 g,"10,-",,5 941265 015314,,
,,Categorie CONDIMENTE SI PRAFURI/ESENTE,Category SPICES AND POWDERS/ESSENCES,,,,,,
,DELI K'AT,Bors cu legume,Borch with vegetables,150 g,"15,-",,3 850104 272424,,
,DELI K'AT,Bors cu verdeturi,Borch with herbs,70 g,"12,-",,3 850104 265617,,
