,Тещины рецепты,Икра кабачковая домашняя,,460g,18.00,,4260099272443
,Господарочка,Икра из кабачков Летняя,,475g,22.00,,4820024791465
,Господарочка,Икра баклажанная,,445g,22.00,,4820024797535
,Todorka,Баклажанная икра,,560g,20.00,,3800740011772
,Todorka,Кабачковая икра,,560g,20.00,,3800740011765
,,КРУПА ГРЕЧНЕВАЯ,BUCKWHEAT,WEIGHT,PRICE,,BARCODE
,Aldim Gmbh,Крупа гречневая ядрица (buckwheat unground),"Buckwheat unground ""Ядрица""",1 kg,33.00,,4260099271019
,Aldim Gmbh,"Крупа гречневая особенная (buckwheat, special)","Buckwheat unground ""Oсобенная"" (""Special"")",1 kg,33.00,,
,Воложка,"Гречка в пакетиках ""Варим парим на радость""",Buchwheat in packs,400g,19.00,,4607070080572
,Царь ,Крупа гречневая,Buchwheat ,500g,25.00,,4603134002498
,,КРУПА/ ПШЕНО,GROATS/ MILLET,WEIGHT,PRICE,,BARCODE
,Царь,Крупа Ячневая,Barley Groats,800g,25.00,,4603134003174
,Царь,Пшено Шлифованное,Polished Millet,800g,20.00,,4603134002801
,Еврозлат,Пшено Шлифованное,Polished Millet,750g,17.00,,4607114150179
,,ОТРУБИ,BRAN,WEIGHT,PRICE,,BARCODE
,ОГО,Отруби бородинские,Brain,200g,18.00,,4630012080491
,,ЕДА БЫСТРОГО ПРИГОТОВЛЕНИЯ,FAST FOOD,WEIGHT,PRICE,,BARCODE
,БиоФуд,Картофельное пюре с соусом с говядиной Биг Ланч,"Mashed potatoes ""Big lunch"" with beef sauce",50g,12.00,,4607160451008
,БиоФуд,Картофельное пюре с соусом с курицей Биг Ланч,"Mashed potatoes ""Big lunch"" with chicken sauce",50g,12.00,,4607160450995
,БиоФуд,Картофельное пюре с соусом с луком и гренками Биг Ланч,"Mashed potatoes ""Big lunch"" with onion  sauce and toasts",50g,12.00,,4607160451015
,БиоФуд,"Лапша со  свининой, чесноком и перцем","Noodles with pork, garlic and pepper",90g,15.00,,4607160450032
,БиоФуд,"Лапша с ароматной говядиной, грибами и зеленью","Noodles with fragrant beef, mushrooms and herbs",90g,15.00,,4607160450025
,Ролтон,Вермишель с курицей,Noodles with chicken,60g,5.00,,4605496007494
,Ролтон,Вермишель с говядиной,Noodles with beef,60g,5.00,,4605496007517
