,Nestle,"Nadziewany wafel ""Lion peanut"" z karamelem i platkami pszennymi i orzechami ziemnymi w polewie kakaowej",,40g,6,,5900862017886
,Nestle,"Nadziewany wafel ""Lion"" z karamelem i platkami pszennymi w polewie kakaowej",,42g,6,,5900862018562
,Nestle,"Nadziewany wafel ""Lion white"" z karamelem i platkami pszennymi w bialej polewie",,60g,10,,7613033007583
,Nestle,"Paluszek waflowy ""Kit Kat chunky white"" w bialej czekoladzie",,40g,7,,3800020423462
,Nestle,"Paluszek waflowy ""Kit Kat chunky"" w mlecznej czekoladzie",,40g,7,,3800020423578
,Nestle,"Paluszek waflowy ""Kit Kat chunky peanut butter"" pokryty kremem arachidowym w mlecznejj czekoladzie",,42g,7,,3800020411162
,Goplana,"Wafer ""Grzeski toffi"" przekladany kremem o smaku toffi w czekoladzie mlecznej","Milk chocolate coated wafer bar ""Grzeski toffi"" with toffee flavoured cream",36g,5,,5900394006181
,Goplana,"Wafer ""Grzeski toffi"" przekladany kremem o smaku toffi w czekoladzie mlecznej","Milk chocolate coated wafer bar ""Grzeski toffi"" with toffee flavoured cream",48g,6,,5900394006518
,Goplana,"Wafer ""Grzeski orzechowe"" przekladany kremem orzechowym w czekoladzie mlecznej","Milk chocolate coated wafer bar ""Grzeski orzechowe"" with hazelnut cream",36g,5,,5900394006204
,Goplana,"Wafer ""Grzeski orzechowe"" przekladany kremem orzechowym w czekoladzie mlecznej","Milk chocolate coated wafer bar ""Grzeski orzechowe"" with hazelnut cream",48g,6,,5900394007577
,Goplana,"Wafel ""Grzeski kakaowe"" przekladany kremem kakaowym","Wafer bar ""Grzeski kakaowe"" with cocoa cream",26g,5,,5900394006556
,Goplana,"Wafel ""Grzeski kakaowe"" przekladany kremem kakaowym","Wafer bar ""Grzeski kakaowe"" with cocoa cream",34g,6,,5900394006570
,Goplana,"Wafel ""Grzeski"" przekladany kremem kakaowym w czekoladzie","Wafer bar ""Grzeski kakaowe"" with cocoa cream",36g,5,,5900394006167
,Goplana,Jezyki kokos,,30g,5,,5900352010076
,Kinder,"Kakaowy biszkopt ""Delice kakao"" z mlechnym nadzieniem",,42g,5,,80052463
,FoodCare,Zelki o smaku napoju FRUGO mocno,,100g,10,,5900552040477
,FoodCare,Zelki o smaku napoju FRUGO mocno zielone,,100g,10,,5900552040453
,FoodCare,Zelki o smaku napoju FRUGO mocno czarne,,100g,10,,5900552040446
,FoodCare,Zelki o smaku napoju FRUGO mocno czerwone,,100g,10,,5900552040460
,Emacompany,Waferek z kremem orzechowym i kolorowymi drazami czekoladowymi,,25g,8,,8691707090122
,Skawa,Orzeszki drazeti,,70g,7,,5902978002732
,Skawa,Draze o smaku smietankowym,,70g,7,,5902978002374
,Mondelez,"Baton ""Big 3Bit"" w czekoladzie mlecznej z nadzieniem mlecznym i herbatnikiem",,51g,8,,7622300279486
,Mondelez,"Baton ""Big 3Bit"" w czekoladzie mlecznej z nadzieniem o smaku orzechowym i herbatnikiem",,51g,8,,7622300315191
,Mondelez,"Ciasto biszkoptowe ""Lubisie mus jabluszkowy"" z nadzieniem jablkowym",,30g,5,,7622210083920
,Mondelez,"Ciasto biszkoptowe ""Lubisie czekoladowe"" z nadzieniem czekoladowym",,30g,5,,5906747309688
