"""Глобал Фууд Къмпани""ЕООД","IZZI, Бланширан дългозърнест ориз","Milled long grain rice ""Izzi""",1 kg.,19.00,3800053101306,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Ориз Тракия","Thrace rice ""Izzi""",1 kg.,19.00,3800053100507,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Балдо бял едрозърнест ориз","Baldo white coarse rice ""Izzi""",1 kg.,19.00,3800053100507,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Балдо бял едрозърнест ориз","Baldo white coarse rice ""Izzi""",500 g.,10.00,3800053100859,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Ориз Тракия","Thrace rice ""Izzi""",500 g.,10.00,3800053100552,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Бисерен Ориз","Pearl rice ""Izzi""",500 g.,10.00,3800053102358,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Вяра 2001"" ООД, Шумен","Krina, Български ориз","Bulgarian rice ""Krina""",1 kg.,20.00,3800106400080,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Вяра 2001"" ООД, Шумен","Krina, Ориз Перлен","Pearl rice ""Krina""",1 kg.,20.00,3800106400011,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Вяра 2001"" ООД, Шумен","Krinа, Боб Трапезен","Bean ""Krina""",500 g.,14.00,3800106401025,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Вяра 2001"" ООД, Шумен","Krina, Боб Традиционен","Traditional bean ""Krina""",1 kg.,29.00,3800106401032,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Бял Боб екстра Елит","White bean extra elit ""Izzi""",1 kg.,29.00,3800053100101,NOODLE/ RICE/ BEAN/ LEAN,,,
