FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,
,Esenta de rom,Rum essence (small bottle),38 ml,"12,-",5945 8845,SPICES AND POWDERS/ESSENCES
,Esenta de vanilie,Vanilla essence (small bottle),38 ml,"12,-",5945 8852,SPICES AND POWDERS/ESSENCES
,Praf copt,Baking powder,10 g,"5,-",5 941132 400021,SPICES AND POWDERS/ESSENCES
,Zahar vanilat,Vanilla sugar,8 g,"5,-",5 941132 400014,SPICES AND POWDERS/ESSENCES
BONITO,Praf de spuma pt. Deserturi cu gust de frisca,Dust flavoured cream mousse,48 g,"12,-",5 941132 300109,SPICES AND POWDERS/ESSENCES
,Crema pt. Prajituri cu gust de vanilie,Cream for cakes with vanilla aroma,50 g,"12,-",5 941132 300079,SPICES AND POWDERS/ESSENCES
,PESTE SI PRODUSE DIN PESTE,FISH AND FISH PRODUCTS,,,,
,Salata cu icre hering si peste afumat,Salad with herring roe and smoked fish,170 g,"20,-",,FISH AND FISH PRODUCTS
,Salata cu icre hering si masline,Salad with herring roe and olives,170 g,"20,-",,FISH AND FISH PRODUCTS
SALMARIS,Salata cu icre hering si ceapa,Salad with herring roe and onion,170 g,"20,-",,FISH AND FISH PRODUCTS
,Salata cu icre crap si ceapa,Saladwith carp roe and onion,170 g,"20,-",,FISH AND FISH PRODUCTS
,Hering marinat cu legume,Marinated hering with vegetables,315 g,"20,-",6 420169 002358,FISH AND FISH PRODUCTS
,Salata cu icre,Caviar salad,140 g,"15,-",,FISH AND FISH PRODUCTS
,Salata icre,Caviar salad,70 g,"7,-",5 941880 902648,FISH AND FISH PRODUCTS
,Salata cu icre hering,Hering caviar salad,70 g,"7,-",5 941880 902075,FISH AND FISH PRODUCTS
FABRICA DE CONSERVE RAURENI,Salata cu icre crap,Carp caviar salad,150 g,"15,-",5 941880 902068,FISH AND FISH PRODUCTS
,Salata cu icre hering,Hering caviar salad,150 g,"15,-",5 941880 902082,FISH AND FISH PRODUCTS
PRIMA OLIVES,MURATURI,PICKLES,,,,
,Castraveti in otet 6-9 cm,Cucumbers in vinegar 6-9 cm,680 g,"20,-",,PICKLES
GERMINO,Varza murata tocata in saramura,Chopped pickled cabbage in brine,700 g,"15,-",,PICKLES
,Ardei capia decojit,Peeled red pepper,?,"25,-",,PICKLES
NATURA,PASTE FAINOASE,PASTA,,,,
,Fidea cuiburi,Vermicelli nests,200 g,"8,-",5 941278 006811,PASTA
,LEGUME,VEGETABLES,,,,
MANDY FOODS,Fasole alba bob mare,White big beans,1000 g,"27,-",,VEGETABLES
,Fasole alba bob mic,White fine beans,1000 g,"20,-",,VEGETABLES
,CONSERVE SI BORCANE,CANS AND JARS,,,,
,Tocana de legume,vegetable stew (jar),300 g,"17,-",5 941334 000654,CANS AND JARS
,Fasole cu costita afumata,Beans with smoked ribs (can),300 g,"20,-",5 941334 000111,CANS AND JARS
,Fasole cu carnati afumati,Beans with smoked sausages (can),300 g,"20,-",5 941334 000104,CANS AND JARS
,Fasole cu ciolan afumat,Beans with smoked bone (can),300 g,"20,-",5 941334 000975,CANS AND JARS
SCANIA FOODS,Fasole batuta,Mashed beans,200 g ,"20,-",5 941334 000784,CANS AND JARS
,Rosii decojite,Pealed tomatoes (can),400 g,"10,-",5 941334 007271,CANS AND JARS
,Gem de caise,Apricot jam,300 g,"15,-",5 941334 007431,CANS AND JARS
,SADU – ciorba de burta,SADU – tripe soup (can),400 g,"25,-",5 941341 010288,CANS AND JARS
CONSERVFRUCT,SADU - Carne de vita,SADU - Beef meat,300 g,"20,-",5 941341 004492,CANS AND JARS
,SADU - Fasole cu costita afumata,SADU - Beans with smoked ribs ,300 g,"20,-",5 941341 002252,CANS AND JARS
,SADU – tocanita de cartofi cu porc,SADU – potato stew with pork (can),300 g,"20,-",5 941341 024964,CANS AND JARS
CEGUSTO,Leaustean in saramura,Lovage in brine (jar),300 g,"12,-",5 941863 003089,CANS AND JARS
,Muraturi asortate,Assorted pickles (big jar),1600 g,"40,-",5 941863 002976,CANS AND JARS
,Salata de varza rosie,Red cabbage salad (jar),680 g,"18,-",5 941863 002211,CANS AND JARS
MANDY FOODS,Salata de varza cu morcov,Coleslaw with carrots (jar),680 g,"18,-",5 941863 003911,CANS AND JARS
ALIMENT EXPERT,Compot de prune,Plum compote (big jar),720 g,"22,-",5 941863 000682,CANS AND JARS
FRAVIL ,Compot de cirese,Cherry compote (big jar),720 g,"22,-",5 941863 000439,CANS AND JARS
