ALCOHOL DRINKS,,,,,,
Fravil,Tomate nedepilate in sos de tomate,Tomatoes in tomato sause,700 g,16,5941865000369,Type
,BULION,BROTH,WEIGHT,"PRICE, DKK",BARCODE,Type
Prima,Bulion de tomate,Tomato broth,1000 g,25,5941288002094,Type
Raureni,Bulion consistent si aromat,Consistent broth with flavor,300 g,15,5941028003671,Type
,CIUPERCI,MUSHROOMS,WEIGHT,"PRICE, DKK",BARCODE,Type
Raureni,Ciuperci intregi in saramura,Whole mushrooms in brine,290 g,30,5941028009178,Type
,FASOLE,BEANS,WEIGHT,"PRICE, DKK",BARCODE,Type
Natura,Fasole alba bob mare,White big beans,1000 g,29,3800225663809,Type
Natura,Fasole alba bob mic,White fine beans,1000 g,25,3800225663816,Type
,Fasole galbena – pastai in saramura,Yellow beans in saramura,720 g,18,5941865001724,Type
,LEAUSTEAN,LOVAGE,WEIGHT,"PRICE, DKK",BARCODE,Type
Cegusto,Leaustean in saramura,Lovage in brine (jar),300 g,12,5941863003089,Type
,CONOPIDA,CAULIFLOWER,WEIGHT,"PRICE, DKK",BARCODE,Type
Raureni,Conopida in otet,Cauliflower in vinegar,700 g,23,5941028002537,Type
,SPANAC,SPINACH,WEIGHT,"PRICE, DKK",BARCODE,Type
,Spanac in saramura,Spinach in saramura,700 g,18,5941865001137,Type
,LEGUME MIX,VEGETABLE MIX,WEIGHT,"PRICE, DKK",BARCODE,Type
Raureni,Zarzavat de ciorba,Vegetables for soup,700 g,20,5941028001929,Type
Raureni,Tocana de legume,Vegetable mix,300 g,15,5942865000444,Type
Mandy Foods,Tocana de legume,Vegetable mix,300 g,17,5941334000654,Type
,PASTE FAINOASE,DRY PASTA,WEIGHT,"PRICE, DKK",BARCODE,Type
Ciao Pasta,Penne,Penne,400 g,8,5941113012175,Type
Ciao Pasta,Spirale,Spirals,400 g,8,5941113012151,Type
Pambac,Penne (faina integrala),Penne (wholemeal),350 g,8,5941113011901,Type
Pambac,Taitei,Noodles,400 g,8,5941113000523,Type
Pambac,Taitei ondulati,Wavy noodles,400 g,8,5941113000530,Type
Pambac,Penne,Penne,400 g,8,5941113007614,Type
SamMills,"""Pasta d'oro"" Fusilli","""Pasta d'oro"" Fusilli",500 g,21,5948935000274,Type
SamMills,"""Pasta d'oro"" Penne Rigate (gluten free)","""Pasta d'oro"" Penne Rigate (gluten free)",500 g,21,5948935000267,Type
SamMills,"""Pasta d'oro"" Spaghetti (gluten free)","""Pasta d'oro"" Spaghetti (gluten free)",500 g,21,5948935002605,Type
Mucenici,Multipast (gluten free),Multipast (gluten free),200 g,12,5941413000308,Type
,SOIA TEXTURAT PRODUS,SOIA PRODUCTS,WEIGHT,"PRICE, DKK",BARCODE,Type
Inedit,Noodles,Noodles,100 g,9,5941132014693,Type
Inedit,Cuburi,Cubes,100 g,9,5941276006509,Type
Inedit,Granule,Granules,100 g,9,5941276006233,Type
Inedit,Felii,Slices,100 g,9,5941276006226,Type
,MANCARURI FINISATA,ALREADY PREPARED DISHES,WEIGHT,"PRICE, DKK",BARCODE,Type
,Tocana de legume,Stewed vegetable,300 g,17,5941334000654,Type
,Mancare de fasole,Stewed beans,300 g,15,5941865000420,Type
,Fasole cu ciolan afumat,Beans with smoked bone,300 g,20,5941334000975,Type
Scandia Sibiu,Fasole Batuta cu legume,Mashed beans with with vegetables,200 g,15,5941341025138,Type
Scandia Sibiu,Carnaciori afumati cu fasole,Summer sausage with beans,400 g,29,5941341000791,Type
Scandia Sibiu,Tocanita de porc gatita cu ciuperci,Pork stew with mushrooms,400 g,35,5941341009879,Type
Scandia Sibiu,Sarmalute in foi de varza cu dichis de dafin,Stuffed cabbage with bay leaf,400 g,29,5941341001521,Type
Scandia Sibiu,Ciolan rasfatat pe varza,Knuckle on sauerkraut,400 g,29,5941341015344,Type
Scandia Sibiu,Ciulama de pui cu ciuperci,Chicken fillet with mushrooms,400 g,39,5941341025961,Type
Mandy Foods,Fasole batuta,Mashed beans,200 g,20,5941334000784,Type
Mandy Foods,Iahnie de fasole,Baked beans,300 g,20,5941334000234,Type
Mandy Foods,Fasole cu costita afumata,Beans with smoked bacon,300 g,20,5941334000111,Type
Mandy Foods,Fasole cu carnati afumati,Beans with sausages,300 g,20,5941334000104,Type
Mandy Foods,Fasole cu carne de vita,Beans with beef,300 g,20,5941334007936,Type
Mandy Foods,Fasole cu carne de porc,Beans with pork,300 g,20,5941334007929,Type
Bucegi,Mancarica de mazare cu carne de pui,Pea stew with chicken,300 g,20,5941341021345,Type
Bucegi,Mancarica de fasole cu carne de porc,Baked beans with pork,300 g,20,5941341021369,Type
Bucegi,Carne frageda de pui cu fasole verde,Tender chicken meat with green beans,300 g,20,5941341021383,Type
Conservfruct,SADU - Carne de vita,SADU - Beef meat,300 g,20,5941341004492,Type
Conservfruct,SADU - Fasole cu costita afumata,SADU - Beans with smoked ribs,300 g,20,5941341002252,Type
Conservfruct,SADU – tocanita de cartofi cu porc,SADU – potato stew with pork,300 g,20,5941341024964,Type
,SALATA,SALADS,WEIGHT,"PRICE, DKK",BARCODE,Type
Conservfruct,Salata de varza rosie,Red cabbage salad (jar),680 g,18,5941863002211,Type
Mandy Foods,Salata de varza cu morcov,Coleslaw with carrots (jar),680 g,18,5941863003911,Type
Scandia Sibiu,Salata de ciuperci cu maioneza vegetala,Mushroom salad with vegetal mayonnaise,200 g,15,5941341025114,Type
,GEM,JAM,WEIGHT,"PRICE, DKK",BARCODE,Type
Scania Foods,Gem de caise,Apricot jam,300 g,15,5941334007431,Type
Raureni,"Gem asortat de prune , piersici, caise, mere, pere",Mixed jam,370 g,15,5941865004800,Type
Fravil,Gem de piersici,Apricot jam,370 g,15,5941865000727,Type
Fravil,Gem de visine,Sour cherry jam,300 g,15,5941334007394,Type
,FAINA,FLOUR,WEIGHT,"PRICE, DKK",BARCODE,Type
Grania,Faina de grau superioara,Superior wheat flour,1 kg,16,5941113004439,Type
Titan,Faina de grau superioara,Superior wheat flour,1 kg,15,5941442000485,Type
,MALAI,MALAI,WEIGHT,"PRICE, DKK",BARCODE,Type
Boromir,Malai extra,Malai extra,1 kg,16,5941300000800,Type
,SUPA,SOUP,WEIGHT,"PRICE, DKK",BARCODE,Type
,Bors,Bors,1 l,15,5941466014611,Type
,SADU – ciorba de burta,SADU – tripe soup (can),400 g,25,5941341010288,Type
Scandia Sibiu,Ciorba de pui dreasa cu smatana,Chicken soup with sour cream,400 g,27,5941341005789,Type
Scandia Sibiu,Ciorba de vacuta cu dichis de verdeturi,Beef soup with greens,400 g,27,5941341001514,Type
,OTET,VINEGAR,WEIGHT,"PRICE, DKK",BARCODE,Type
Fravil,Otet de mere cu miere,Apple vinegar with honey,500 ml,15,5941028008089,Type
Fravil,Otet de visine,Sour cherry vinegar,500 ml,15,5941028008065,Type
Fravil,Otet din vin alb,White wine vinegar,1 l,15,5941028111048,Type
FROZEN PRODUCTS,,,,,,Type
,PRODUSE CARNE CONGELATE,FROZEN MEAT PRODUCTS,WEIGHT,"PRICE, DKK",BARCODE,Type
,Burta de vita prefiarta fideluta,Boiled chopped beef tripe,"1,050 kg",65,5949070400035,Type
,Carnati de porc grosi,Big pork sausages,,75,,Type
,Carnati de porc in mat de oaie,Pork sausages in sheep mat,,45,,Type
,Carne tocata porc,Hacked pork,900 g,40,,Type
Kandia Dulce,Mici extra,Mici extra,900 g,55,5941265015543,Type
Kandia Dulce,Matache Macelaru – Mici,Mici – Matache Macelaru,900 g,55,5941265000176,Type
,PLACINTA CONGELATE,FROZEN PIE,WEIGHT,"PRICE, DKK",BARCODE,Type
Tip Top food industry,Bonito - Minirolls cu branza si masline,Bonito - minirolls with cheese and olives (8 pieces + baking tray),400 g,22,5941540007355,Type
Tip Top food industry,Bonito - Aluat Foietay fraged si pufos,Bonito - pastry dough,400 g,20,5941540007638,Type
Tip Top food industry,Bonito - Placinta cu douleac,Bionito - pumpkin pie,925 g,40,5941540007737,Type
Tip Top food industry,Bonito - Placinta cu carne,Bionito - meat pie,925 g,40,5941540007942,Type
Tip Top food industry,Bonito - Placinta cu spanac,Bionito - spinach pie,925 g,40,5941540007744,Type
Tip Top food industry,Bonito - Placinta cu branza,Bionito - cheese pie,925 g,40,5941540004699,Type
SWEETS,,,,,,Type
,PRAJITURI SI PRODUSE DE PATISERIE,COOKIES AND PASTRIES,WEIGHT,"PRICE, DKK",BARCODE,Type
Boromir,Magura – ciocolata si vanilie,Magura – Chocolate and vanilla,35 g,5,5941047826763,Type
Boromir,Magura – iaurt si zmeura,Magura – Yogurt and raspberry,35 g,5,5941047826794,Type
Boromir,Prajitura Magura cu Alune,Magura – Cake with Nuts,35 g,5,5941047820563,Type
Boromir,Prajitura Magura cu Rom,Magura – Cake with Rum,35 g,5,5941047813947,Type
Boromir,Prajitura Magura cu Capsuni,Magura – Cake with Strawberries,35 g,5,5941047814036,Type
Boromir,Prajitura Magura cu Cacao,Magura – Cake with Cocoa,35 g,5,5941047814005,Type
